Sentence_before,Sentence,Sentence_after,Filename,Year,Match,Phrase Key,Is Death Euphemism? (Yes/No)
"Hun bedrager migi — gispede han mellem de sammenbidte tænder , mens han arbejdede sig op og ned ad bakker , gennem skove , over marker . — hun bedrager mig ! Hun ligner hele sin slægt , individer uden ære , uden skamfølelse ! Hvordan skulle hun også kunne blive anderledes , når hun","er opvokset i sådanne omgivelser ? For en smertefuld skuffelse ! For en lav , skændig forbrydelse ! Og jeg , som havde en så urokkelig tillid til hende ! Men når jeg nu kommer hjem , skal opgøret stå . Jeg vil kræve hende til regnskab , nej ,","simpelthen sige hende , at jeg ved og forstår alt , og at jeg har forstået det længe . Jeg vil knuse hende med min foragt , trampe på hende , bruge de stærkeste udtryk . Men der findes ikke ord stærke nok til at udtrykke , hvad jeg føler og mener . Bedrage , hykle , lyve i ord og miner , skænde mit hjem , tilsmudse mit navn ! . . . . Hun er et væsen uden ære , uden gnist af samvittighed , uden spor af hjerte ! . . . . Et dyr . .",1893_Schoeyen_EtLoefte.txt,1893,kommer hjem,kom* hjem,No
"Og endda hun havde gået og glæd sig til at fortælle Theodor det . Det var det , som havde","git hende mod til at komme hjem , for ellers havde","hun da aldrig vovet at vise sig for ham mere , slig som hun havde svart ham på gaden om",1888_SkramA_Lucie.txt,1888,komme hjem,kom* hjem,No
"klosterbo . Hvad vil du da ? Vil du sidde her på Frøslevgård og blive en gammel , rådløs pebermø ?","Når din moder er vandret heden , og denne smule","jord , som endda kun til hælvten er din moders , bliver din , vil da dit hjerte være ved dette muld",1896_EwaldHF_LidenKirsten.txt,1896,vandret heden,vandr* heden,Yes
"„ Kære , gamle ven ! „ Med dyb bekjymring må jeg meddele dig , at","„ min eneste søn er afgået ved døden , efter et meget","„ smertefuldt sygeleje . Jeg var hos ham i hans døds „ stund , og han bad mig sige Diana , at hans fidste",1872_LeFevre_DianaEllerHaabloesKjaerlighed.txt,1872,afgået ved døden,afg* ved døden,Yes
„ hendes sidste levedage ; jeg formoder hun vil takke „ ham før hans godhed og velsigne ham før hun,"„ vandrer heden . Bed ham komme herhen , så","„ hurtigt som muligt . “ Det var efter modtagelsen af dette brev , at Peter",1870_GB_PolitispionenEllerHaelerhusetPaaKristianshavn.txt,1870,vandrer heden,vandr* heden,Yes
"„ Jeg tænker , at han mente det værste , “ svarede Magnus gren , „ at vi inden ret længe er",himlede . “,"„ Forbandet være han , den Nidding , “ udbrød Fru Kristines ældste Broder Erik Gyldenstjerne ,",1898_EwaldH_KristianDenAnden.txt,1898,himlede,himl*,Yes
"grønne karaffels indhold . » Å ! — å ! « lød det hjerteskærende gennem villaen tidlig og silde ,",indtil hun omsider udåndede en decembernat i,"diakonissens og sin mands arme , efter i forvejen at have åbenbare ! ham hedemosegårdens hele",1880_Hansen_FraDannevirkeTilRosenvaenget.txt,1880,udåndede,udånde*,Yes
"min hustrues død været så bedrøvet som i aften . Min Sigrid , min stakkels Sigrid modtager mig","ikke , når jeg kommer hjem ! — når du fortæller","Erling sagen , “ råbte pludselig den gamle , „ da sig ham , at den , som har bortført hans søster , skal",1887_Gioerup_ErikEmun.txt,1887,kommer hjem,kom* hjem,No
kvadratur jeg ! » Abraham Johnston er stille og langsomt,"hensovet , « — begyndte han at messe . — » Ikke","et kvæk gav han fra sig heller om , at han ville blive en stor maler . — flan bedrøvede",1890_LieJ_OndeMagter.txt,1890,hensovet,hensov*,Yes
Mylr ? Fører ikke de gg hundrededele af jordens 1400 millioner en ren driftsmæssig tilværelse,"og går i graven , uden at en eneste åndens","gnist har lysnet over deres liv ! Og hvad lutring havde deres lille dreng , der havde levet",1889_NielsenZ_Maagen.txt,1889,går i graven,g* i graven,Yes
